"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
129,-1.70110699765207,0.863507569704476,-0.080162967559218,"Converged","MLE",FALSE,FALSE,0.99,0.01
130,-2.10375121741778,1.95878966588893,-0.0745788512241855,"Converged","MLE",FALSE,FALSE,0.99,0.01
131,-1.77930164204307,1.7223731260511,-0.0937295766408926,"Converged","MLE",FALSE,FALSE,0.99,0.01
132,-1.74834104686868,2.04066208555396,-0.1746482180546,"Converged","MLE",FALSE,FALSE,0.99,0.01
133,-2.60040205000359,3.57706787012953,-0.0509368366891379,"Converged","MLE",FALSE,FALSE,0.99,0.01
134,-1.93667297006581,1.74409549505304,-0.136063987090723,"Converged","MLE",TRUE,FALSE,0.99,0.01
135,-2.65573058993726,2.30567587918269,-0.00255553179142728,"Converged","MLE",FALSE,FALSE,0.99,0.01
136,-2.47467150485558,1.89793441293315,0.0258005867688786,"Converged","MLE",TRUE,FALSE,0.99,0.01
137,-1.61300158196136,1.52481039743379,-0.12487010813955,"Converged","MLE",TRUE,FALSE,0.99,0.01
138,-1.5586146246738,2.0157513420892,-0.190387398003241,"Converged","MLE",TRUE,FALSE,0.99,0.01
139,-2.15978090486314,1.99007520095519,-0.0713011095069158,"Converged","MLE",FALSE,FALSE,0.99,0.01
140,-1.52009407993805,0.837794613236552,-0.104006589312346,"Converged","MLE",FALSE,FALSE,0.99,0.01
141,-1.86537937806545,1.1218536832187,-0.068918347562096,"Converged","MLE",FALSE,FALSE,0.99,0.01
142,-2.75478219646611,3.81128649985164,-0.0808088201535285,"Converged","MLE",FALSE,FALSE,0.99,0.01
143,-1.92342881582252,2.30691171613259,-0.117682226590905,"Converged","MLE",FALSE,FALSE,0.99,0.01
144,-1.36206417832969,0.432230636912236,-0.133241508758274,"Converged","MLE",FALSE,FALSE,0.99,0.01
145,-2.12381030582967,2.78667396800596,-0.173894424903945,"Converged","MLE",FALSE,FALSE,0.99,0.01
146,-2.08568357499882,2.59010718980689,-0.1116891255633,"Converged","MLE",FALSE,FALSE,0.99,0.01
147,-2.06853197948341,2.86794554276596,-0.108298052683455,"Converged","MLE",FALSE,FALSE,0.99,0.01
148,-1.99210715094574,1.60697921823794,-0.0840129977995887,"Converged","MLE",FALSE,FALSE,0.99,0.01
149,-2.12309629452714,3.18693828069185,-0.160413032443692,"Converged","MLE",FALSE,FALSE,0.99,0.01
150,-1.85959393926427,1.79604809567715,-0.0986583212546077,"Converged","MLE",FALSE,FALSE,0.99,0.01
151,-2.33931855683392,2.86237362422511,-0.094711141197145,"Converged","MLE",FALSE,FALSE,0.99,0.01
152,-2.20157642578071,2.87102740089047,-0.120961131172555,"Converged","MLE",TRUE,FALSE,0.99,0.01
153,-1.71508810508022,1.61433423784315,-0.127980134075121,"Converged","MLE",FALSE,FALSE,0.99,0.01
154,-1.56367488009362,0.171386357693907,-0.0542007068342816,"Converged","MLE",TRUE,FALSE,0.99,0.01
155,-1.94938190520879,2.51285462890416,-0.141009415827096,"Converged","MLE",FALSE,FALSE,0.99,0.01
156,-2.01274394752094,3.02632358427444,-0.159605059400887,"Converged","MLE",FALSE,FALSE,0.99,0.01
157,-2.47646094392615,3.21336985386846,-0.0713453787369392,"Converged","MLE",TRUE,FALSE,0.99,0.01
158,-2.02017586581248,2.69464128372929,-0.135455569884733,"Converged","MLE",FALSE,FALSE,0.99,0.01
159,-2.2635252429909,1.87244369968253,-0.00690990444036807,"Converged","MLE",FALSE,FALSE,0.99,0.01
160,-2.21689313429982,2.43831700126398,-0.0659554963456841,"Converged","MLE",TRUE,FALSE,0.99,0.01
161,-2.58401740241678,2.7213777052357,-0.0497461615674,"Converged","MLE",FALSE,FALSE,0.99,0.01
162,-2.38828086841081,3.33076556081736,-0.0805680681603805,"Converged","MLE",FALSE,FALSE,0.99,0.01
163,-2.09024348271858,2.72544739325079,-0.12502761355666,"Converged","MLE",FALSE,FALSE,0.99,0.01
164,-1.95481646321159,2.95581862323554,-0.160035876726139,"Converged","MLE",TRUE,FALSE,0.99,0.01
165,-2.41568902340532,2.65643766473125,-0.0370544089628822,"Converged","MLE",FALSE,FALSE,0.99,0.01
166,-2.34451131089719,2.0275061172554,-0.0336638515690589,"Converged","MLE",FALSE,FALSE,0.99,0.01
167,-1.90190740797896,2.52826863770657,-0.136225958152764,"Converged","MLE",FALSE,FALSE,0.99,0.01
168,-2.15782460139267,3.12670824479013,-0.122278757822121,"Converged","MLE",FALSE,FALSE,0.99,0.01
169,-2.12592483846424,2.52636059425645,-0.0700631181640011,"Converged","MLE",TRUE,FALSE,0.99,0.01
170,-2.00240534569769,0.906673815270789,-0.0168582640520536,"Converged","MLE",FALSE,FALSE,0.99,0.01
171,-1.5742883534291,1.84996747787929,-0.128844114686031,"Converged","MLE",TRUE,FALSE,0.99,0.01
172,-2.36731447992684,3.84154913666389,-0.138893861193301,"Converged","MLE",FALSE,FALSE,0.99,0.01
173,-1.98874700617366,2.09657544313823,-0.126008849173867,"Converged","MLE",FALSE,FALSE,0.99,0.01
174,-2.35252311854871,3.2814456809674,-0.131841186570601,"Converged","MLE",FALSE,FALSE,0.99,0.01
175,-2.1722580119845,3.39870185230823,-0.133850982077499,"Converged","MLE",FALSE,FALSE,0.99,0.01
176,-2.18396999277251,1.81130781276528,-0.0670435304457086,"Converged","MLE",FALSE,FALSE,0.99,0.01
