"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
42,0.9,"CC",-2.14339166702871,2.67080531394731,0.0895909462084404,"Converged",FALSE,5,45,8,42,0.99,0.01
42,0.9,"BCC",-1.93255664063465,2.03770554674924,0.0883905359421693,"Converged",FALSE,25,25,25,25,0.99,0.01
42,0.9,"RESID",-2.09757281777467,2.47680300280891,0.0898664610591678,"Converged",FALSE,17,33,0,50,0.99,0.01
42,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,28,22,33,17,0.99,0.01
43,0.9,"SRS",-1.73116987949944,2.17073344133841,0.050317013128896,"Converged",FALSE,1,66,0,33,0.99,0.01
43,0.9,"CC",-1.73225853947507,2.12247745845416,0.0511271312719443,"Converged",FALSE,4,46,0,50,0.99,0.01
43,0.9,"BCC",-1.72035149343693,1.99836247819189,0.050726541237702,"Converged",FALSE,26,25,24,25,0.99,0.01
43,0.9,"RESID",-1.94343620586648,2.7900971485406,0.0491916598485846,"Converged",FALSE,28,22,0,50,0.99,0.01
43,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,31,19,24,26,0.99,0.01
44,0.9,"SRS",-2.78000779081485,4.0003010721646,0.130555684066308,"Converged",FALSE,2,60,1,37,0.99,0.01
44,0.9,"CC",-2.5532804843381,3.17635881222786,0.131906411438229,"Converged",FALSE,3,47,6,44,0.99,0.01
44,0.9,"BCC",-2.72444416585371,3.71000174700601,0.129330939716161,"Converged",FALSE,25,25,25,25,0.99,0.01
44,0.9,"RESID",-2.63354439552154,3.64860246629101,0.131369346642311,"Converged",FALSE,18,32,0,50,0.99,0.01
44,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,23,27,26,24,0.99,0.01
45,0.9,"SRS",-1.55501475591126,1.12034195059439,0.0842389657858295,"Converged",FALSE,4,66,3,27,0.99,0.01
45,0.9,"CC",-1.47821967347812,0.890378864799755,0.08283170889719,"Converged",FALSE,4,46,7,43,0.99,0.01
45,0.9,"BCC",-1.48541766581202,0.878536384679004,0.0824608665583846,"Converged",FALSE,25,25,25,25,0.99,0.01
45,0.9,"RESID",-1.51625449660261,0.99878428856894,0.0830318720980025,"Converged",FALSE,16,34,0,50,0.99,0.01
45,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,34,16,29,21,0.99,0.01
46,0.9,"SRS",-1.78269645361042,1.55558811841848,0.10901957269705,"Converged",FALSE,3,59,4,34,0.99,0.01
46,0.9,"CC",-1.64424182509848,1.1442887915749,0.10867461620023,"Converged",FALSE,5,45,2,48,0.99,0.01
46,0.9,"BCC",-1.57771846077525,0.902361492820017,0.108794487603664,"Converged",FALSE,25,25,25,25,0.99,0.01
46,0.9,"RESID",-1.85949005078113,1.73121197449992,0.11125852927783,"Converged",FALSE,10,40,0,50,0.99,0.01
46,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,26,24,25,25,0.99,0.01
47,0.9,"SRS",-2.11926933748203,2.6984732062631,0.0834856033926908,"Converged",FALSE,4,69,2,25,0.99,0.01
47,0.9,"CC",-2.1333519680103,2.69905353881714,0.0847557189071397,"Converged",FALSE,2,48,10,40,0.99,0.01
