"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","tpr","fpr"
193,-1.98684843752652,2.89645264833561,-0.157459557436287,"Converged",0.99,0.01
194,-2.20363591523591,2.52810253748227,-0.0921925470598319,"Converged",0.99,0.01
195,-1.29741051974489,0.349123795561402,-0.135711689323277,"Converged",0.99,0.01
196,-2.60150860743225,3.20140613857816,-0.0542050066328582,"Converged",0.99,0.01
197,-1.67154616110662,1.00425174326902,-0.0794613809329639,"Converged",0.99,0.01
198,-2.03836315355381,2.10464467939112,-0.105108588605919,"Converged",0.99,0.01
199,-1.48724999118552,1.18911682923251,-0.151874120858289,"Converged",0.99,0.01
200,-1.97847603571288,2.92940874909755,-0.188480321705074,"Converged",0.99,0.01
201,NA,NA,NA,"B-spline error",0.99,0.01
202,-2.12172975268745,2.51479485633174,-0.095246981943467,"Converged",0.99,0.01
203,-1.91071007110422,1.26425822626508,-0.0975535614297801,"Converged",0.99,0.01
204,-2.02984658408871,2.67602058589606,-0.161111755958554,"Converged",0.99,0.01
205,-1.66559949997111,1.44897245353147,-0.126185012589773,"Converged",0.99,0.01
206,-1.38105762431261,0.183507962777629,-0.135353172760031,"Converged",0.99,0.01
207,-1.6543958379248,1.57049939144859,-0.148846439940729,"Converged",0.99,0.01
208,-2.17674061510123,1.32649175637719,-0.0084118561187356,"Converged",0.99,0.01
209,-2.11064842815281,2.41011212531963,-0.133339616406331,"Converged",0.99,0.01
210,-1.47555215820164,1.5490551982981,-0.190704837420461,"Converged",0.99,0.01
211,-1.38543636563782,-0.0974547588366908,-0.085634611011004,"Converged",0.99,0.01
212,-2.83336015689013,3.85668008064323,-0.0370618762867974,"Converged",0.99,0.01
213,-1.91849019016996,1.82105628859508,-0.0684193548513605,"Converged",0.99,0.01
214,-1.47449271323,0.430417562095428,-0.104239699316537,"Converged",0.99,0.01
215,-2.17808202048337,3.32347906227979,-0.107280901713055,"Converged",0.99,0.01
216,-1.43086642600405,0.248605752375394,-0.0871462241577118,"Converged",0.99,0.01
217,-1.91629036214032,1.65904881300038,-0.0655751868518899,"Converged",0.99,0.01
