"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_resampled_V","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_resampled_V","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_resampled_V","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","sfs_beta0","sfs_beta1","sfs_beta2","sfs_conv_msg","tpr","fpr"
249,-1.63914420717546,3.31331678427222,-0.0230527716023306,"Converged",FALSE,-1.54782745314039,2.96476342399485,-0.0224854411727734,"Converged",FALSE,-1.430590717347,2.54701180399714,-0.0218954082348188,"Converged",FALSE,-1.81516473397282,3.43946590165643,-0.0213015582874296,"Converged",FALSE,-1.68771028709399,3.3259010273829,-0.0227996730905458,"Converged",0.99,0.01
250,-1.10929045070636,0.555926308955663,-0.0168589799971919,"Converged",FALSE,-1.16880378137244,0.741065719933272,-0.0168667845027303,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-1.20326801205631,0.831242700311616,-0.016862997617524,"Converged",FALSE,-1.28836002581421,1.11735349012022,-0.0170344863951369,"Converged",0.99,0.01
251,-2.04025245602861,0.966813874163968,-0.00251204710287215,"Converged",FALSE,-2.0647025321755,0.967610180631216,-0.00232782924037096,"Converged",FALSE,-1.78346336025907,0.0496163770547075,-0.00195707612778392,"Converged",FALSE,-2.06521220793381,1.04749459109711,-0.00267615746497813,"Converged",FALSE,-1.8872742269755,0.411827152137936,-0.00222588551259215,"Converged",0.99,0.01
252,-0.598232535501451,1.41281894316204,-0.0340458364183974,"Converged",FALSE,-0.598362370173102,1.47374220013522,-0.0343543620600598,"Converged",FALSE,-0.604042287270859,1.45862924028923,-0.0340957929772958,"Converged",FALSE,-0.586721423654028,1.33643680840137,-0.0337423386195497,"Converged",FALSE,-0.62414903189961,1.40261335835099,-0.0337508489469852,"Converged",0.99,0.01
253,-0.864144312951725,0.952848947627564,-0.0249422656733253,"Converged",FALSE,-0.82277832328636,0.8054545754613,-0.024893369959687,"Converged",FALSE,-1.0352906282265,1.51052019396639,-0.0255686623076913,"Converged",FALSE,-0.794990780826906,0.703700785512111,-0.0247321680473131,"Converged",FALSE,-0.811189247075596,0.711362842980452,-0.0247943830230103,"Converged",0.99,0.01
254,-1.89796456123243,0.286964821763496,0.00086276909580499,"Converged",FALSE,-1.92087472114511,0.356033548230262,0.000786789032436913,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-2.02348615720936,0.714187263469927,0.000826139999070707,"Converged",FALSE,-1.90776032719363,0.30973058921855,0.000901320382733852,"Converged",0.99,0.01
255,-1.49720737032837,1.59134079290025,-0.0165892123222432,"Converged",FALSE,-1.38182732472945,1.24239987828388,-0.0163853449563151,"Converged",FALSE,-1.34583294020184,1.12129730778132,-0.0164715896493055,"Converged",FALSE,-1.34327637128648,1.11912735309823,-0.0162420841998131,"Converged",FALSE,-1.4117780176744,1.32616639705209,-0.0164680729252909,"Converged",0.99,0.01
256,0.0767668543548835,-0.00419396331415087,-0.0433593515988144,"Converged",FALSE,0.148500557331834,-0.261479746357686,-0.0432292922767748,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.131436847076915,-0.190725514229974,-0.0433079605093841,"Converged",FALSE,-0.0275222541704376,0.35607540543416,-0.0434572478382171,"Converged",0.99,0.01
257,-1.43132502656585,1.3567798859356,-0.0140769115233078,"Converged",FALSE,-1.57222274573977,1.54499420543842,-0.0134087828538954,"Converged",FALSE,-1.23975538202121,0.571566896398937,-0.0132161616494892,"Converged",FALSE,-1.31256590242003,0.806817868823159,-0.0131198597686424,"Converged",FALSE,-1.17572774531623,0.374821765013939,-0.0130896970965458,"Converged",0.99,0.01
258,-1.66334950658328,1.44322772182145,-0.00951350768169163,"Converged",FALSE,-1.25029767238465,0.27940420102402,-0.0101605344684727,"Converged",FALSE,-2.09153829319458,2.71709604758866,-0.00937655275737616,"Converged",FALSE,-1.6185366842228,1.48947717320253,-0.0100904680780877,"Converged",FALSE,-1.42170885257097,0.824321631511008,-0.010102015660026,"Converged",0.99,0.01
259,-1.87710176109623,0.980902520765332,-0.00711208111695463,"Converged",FALSE,-1.78102634358791,0.791871541289236,-0.00744857788428962,"Converged",FALSE,-2.10551997684205,1.80365383664173,-0.00726405227788783,"Converged",FALSE,-2.08891928745938,1.72510830120173,-0.00737223177860858,"Converged",FALSE,-1.95332065318429,1.23880666739958,-0.00717692932632222,"Converged",0.99,0.01
260,-2.01007152464209,2.29990975665442,-0.0116200992345719,"Converged",FALSE,-1.8929106588046,1.94588980323125,-0.0114762291199526,"Converged",FALSE,-1.71526871193939,1.41945271146295,-0.0114458624472349,"Converged",FALSE,-1.6719032054092,1.25506836988228,-0.0113339248479963,"Converged",FALSE,-2.00906145397083,2.25111186844651,-0.0119369868845772,"Converged",0.99,0.01
261,-1.46406482554883,0.844228432726192,-0.013061529672497,"Converged",FALSE,-1.68365202424115,1.58693081063386,-0.0133938518722435,"Converged",FALSE,-1.63351187031174,1.31651633746606,-0.0129529830632166,"Converged",FALSE,-1.30196453317659,0.257730853036817,-0.0126025109379071,"Converged",FALSE,-1.47892640770052,0.750617446118383,-0.0126819221616248,"Converged",0.99,0.01
262,-2.02910126202024,0.883249048025612,0.000207004408153943,"Converged",FALSE,-2.04950693205932,0.949925157051421,0.000193859305119004,"Converged",FALSE,-1.97976969376227,0.679688940777423,0.000353877386573816,"Converged",FALSE,-1.86391705878011,0.339104181554002,0.000227418423006614,"Converged",FALSE,-1.90675825017533,0.474220598695273,0.000239551659303159,"Converged",0.99,0.01
263,-1.48955937219598,-0.0904945423785046,-0.00262633225166638,"Converged",FALSE,-1.49914191934383,-0.0500792977011339,-0.00265031627545721,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-1.51742692497052,0.00920105222142906,-0.00267171765747968,"Converged",FALSE,-1.54805895236893,0.108353743417132,-0.002681635242926,"Converged",0.99,0.01
264,-3.2058105801316,1.42036845567282,0.021132305628726,"Converged",FALSE,-3.02504271022335,0.791901863816441,0.0214268582419296,"Converged",FALSE,-3.08334779823206,0.978575963109107,0.0212263321488087,"Converged",FALSE,-3.18767192081949,1.31384035214651,0.0211617289266494,"Converged",FALSE,-3.24573614975775,1.48777310991173,0.021076518642076,"Converged",0.99,0.01
265,-2.46198086412602,1.06406007694972,0.0089632833615933,"Converged",FALSE,-2.37917421527551,0.824579518159431,0.00886163552986467,"Converged",FALSE,-2.41030596969534,0.887650543667498,0.00866067379184128,"Converged",FALSE,-2.40942268290262,0.901095801838397,0.00901899154868545,"Converged",FALSE,-2.4371298006101,0.984445807163788,0.00889746467193886,"Converged",0.99,0.01
266,-1.80072744951269,2.47817441739869,-0.0182625500487495,"Converged",FALSE,-1.8228586791575,2.36737800654182,-0.0174807296613529,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.73015939996952,2.23442858896166,-0.0179500713024202,"Converged",FALSE,-1.53525838797167,1.55738067076582,-0.0181118606602798,"Converged",0.99,0.01
267,-1.33755533159401,-0.936623595515069,-0.0060103036962293,"Converged",FALSE,-1.46271760130516,-0.514609572222355,-0.00595648539549102,"Converged",FALSE,-2.02767198224016,1.30430250094387,-0.00647594629684386,"Converged",FALSE,-1.40590014134186,-0.730777863811034,-0.00590205553664295,"Converged",FALSE,-1.31459733150529,-1.04820614646595,-0.00583198629233732,"Converged",0.99,0.01
268,-1.89492988076112,0.120245579251163,0.00501707596400002,"Converged",FALSE,-2.0225626951798,0.512936650264473,0.005023277445847,"Converged",FALSE,-1.91540333288911,0.185514321259047,0.00505224629603849,"Converged",FALSE,-1.9283887481067,0.226345580142363,0.00498514441935635,"Converged",FALSE,-1.8026667700328,-0.196634232151761,0.00511987446988117,"Converged",0.99,0.01
269,-1.72768960935949,2.17767650221386,-0.0202311095108136,"Converged",FALSE,-1.81156060651925,2.34946531516754,-0.0199200007828184,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.43496592941321,1.3077723129533,-0.0207126897619987,"Converged",FALSE,-1.60253385107893,1.73491825029354,-0.0201625808242561,"Converged",0.99,0.01
270,-2.69876007858583,2.01422197084453,0.011137372536629,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.61924448852668,1.83026675455451,0.010479639818529,"Converged",FALSE,-2.92531015589475,2.7552481631517,0.0116849032134337,"Converged",0.99,0.01
271,-1.62132078847798,1.16306343786918,-0.0137408519818912,"Converged",FALSE,-1.66865036439069,1.38014819356663,-0.0139296757034041,"Converged",FALSE,-1.23653848200679,0.0484383809971763,-0.0141713645308589,"Converged",FALSE,-1.46359949586808,0.744222048678957,-0.0137731888539811,"Converged",FALSE,-1.44552019663018,0.697118132470705,-0.0140001726237543,"Converged",0.99,0.01
272,-1.92669525883245,1.76744465267011,-0.00792676268682231,"Converged",FALSE,-1.88584876953222,1.50977345926013,-0.00752447280744977,"Converged",FALSE,-1.85724402478887,1.50361955031239,-0.00738969229446472,"Converged",FALSE,-1.76786892231029,1.29063600653506,-0.00761795808400014,"Converged",FALSE,-1.88380158836844,1.64481351611196,-0.00738481037318259,"Converged",0.99,0.01
273,-2.11681536235847,1.71262855417913,-0.00564065813476979,"Converged",FALSE,-2.45012443470892,2.59901898483771,-0.00563346257882478,"Converged",FALSE,-2.02101062133998,1.37111217803148,-0.00601748805774514,"Converged",FALSE,-2.2270971800017,1.96409267832314,-0.00545513946274644,"Converged",FALSE,-2.20850503624324,2.01670071800634,-0.00575339889171537,"Converged",0.99,0.01
274,-1.30283421811004,0.851914549820347,-0.0145595398562226,"Converged",FALSE,-1.03610667920907,0.108387478347131,-0.0152223822569492,"Converged",FALSE,-1.26854517921486,0.834461142248732,-0.0149789905773345,"Converged",FALSE,-0.990084903578125,-0.0308728857985176,-0.0152846781487561,"Converged",FALSE,-1.1610820855679,0.460541315208286,-0.0149711141333181,"Converged",0.99,0.01
275,-1.82402496369863,1.54546800271689,-0.00948438791275301,"Converged",FALSE,-1.87949463969825,1.75155802941283,-0.00986899179727481,"Converged",FALSE,-1.60600779493929,0.957007101801915,-0.0101503601910746,"Converged",FALSE,-1.78367971595949,1.42997423300369,-0.00965648902935611,"Converged",FALSE,-1.78397636696486,1.48431203208006,-0.00984218080229832,"Converged",0.99,0.01
276,-1.88744207638957,0.944845531721768,-0.00424817843642355,"Converged",FALSE,-1.97702561745314,1.17819627168326,-0.00415188828215099,"Converged",FALSE,-1.66284937675582,0.270244745574649,-0.00462519186404342,"Converged",FALSE,-1.91140786156961,1.0485124224997,-0.00439821801522694,"Converged",FALSE,-2.12736737702302,1.71598301240838,-0.0046362195896968,"Converged",0.99,0.01
277,-1.21318113797478,0.276106455530959,-0.011740134060227,"Converged",FALSE,-1.00346624989609,-0.423257469035586,-0.011704685661179,"Converged",FALSE,-1.06326654808855,-0.215770790338325,-0.0117515258756448,"Converged",FALSE,-0.994772504884566,-0.480468695287178,-0.0117421622160336,"Converged",FALSE,-1.15393033634357,0.0709517209239982,-0.0117523374250982,"Converged",0.99,0.01
278,-0.522846814801931,-0.69723691816902,-0.0208412499414031,"Converged",FALSE,-0.520665695120359,-0.674301788129518,-0.0209042573035243,"Converged",FALSE,-0.490110261616659,-0.762102765515714,-0.0210363142554841,"Converged",FALSE,-0.405122458758281,-1.07122672742256,-0.0211057090121735,"Converged",FALSE,-0.319810790444174,-1.37058426314651,-0.0208978880560163,"Converged",0.99,0.01
279,-2.83198652276604,1.42213615100522,0.0154593206321456,"Converged",FALSE,-2.79538386461312,1.36757867285158,0.0150552242741382,"Converged",FALSE,-2.81550588700844,1.3509943714202,0.0151129963869065,"Converged",FALSE,-2.75399838296996,1.22820706947077,0.0151913329552351,"Converged",FALSE,-2.96676826210967,1.89803193662291,0.0150549095108543,"Converged",0.99,0.01
280,-1.21356364034076,0.27975174222137,-0.0138422725260043,"Converged",FALSE,-1.38852242131898,0.845838442216608,-0.013819556625669,"Converged",FALSE,-1.44378286981547,0.990772656244838,-0.0137528912340333,"Converged",FALSE,-1.26353232915702,0.450575175496129,-0.0138274925958803,"Converged",FALSE,-1.22530264375187,0.315140689184607,-0.0138123072252992,"Converged",0.99,0.01
281,-2.11876435532179,0.929017683076695,0.00206809558665454,"Converged",FALSE,-1.95475274607751,0.407419417846618,0.00221432629974157,"Converged",FALSE,-2.03146817721915,0.616527344275137,0.00224782786150432,"Converged",FALSE,-2.06816776550551,0.763475161834335,0.00202839309298075,"Converged",FALSE,-2.35412009388497,1.68073800204153,0.00218492544015206,"Converged",0.99,0.01
282,-2.30906252848734,1.28268317163394,0.00250565462536398,"Converged",FALSE,-2.34321667857136,1.33996223105518,0.00248582565809169,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.29857983277779,1.22377275357161,0.00220263185000078,"Converged",FALSE,-2.19817885165724,0.911797957518045,0.00225219196851565,"Converged",0.99,0.01
283,-1.65171358922442,0.69195395804248,-0.00471067522488196,"Converged",FALSE,-1.60442780642176,0.532867125850765,-0.00475592484276719,"Converged",FALSE,-1.66795108269788,0.664978364519563,-0.00448262677352836,"Converged",FALSE,-1.57311206550313,0.417776623882319,-0.00474669618100895,"Converged",FALSE,-1.79997778405536,1.04977873457465,-0.00444121495960907,"Converged",0.99,0.01
284,-1.46710701822303,2.86774877267136,-0.0276418020845305,"Converged",FALSE,-1.35072375434431,2.6489579022698,-0.0274614202800862,"Converged",FALSE,-1.24364557637452,2.12823383736702,-0.0279149234938231,"Converged",FALSE,-1.32956371906538,2.58590805088971,-0.0278637487567581,"Converged",FALSE,-1.37273420636349,2.64419751165893,-0.0282966027285067,"Converged",0.99,0.01
285,-1.28098166793162,1.57006862082364,-0.020168993946978,"Converged",FALSE,-1.17717051184045,1.18999329853838,-0.0204445359079696,"Converged",FALSE,-1.03724866132385,0.782240344867566,-0.0203844886600182,"Converged",FALSE,-1.54215753556206,2.20482256445773,-0.02001797263663,"Converged",FALSE,-1.33953029762452,1.63885660355019,-0.0202634284568828,"Converged",0.99,0.01
286,-1.32776669594874,0.314487898930229,-0.012214783593756,"Converged",FALSE,-1.47879811195105,0.798116282004522,-0.0123096480928203,"Converged",FALSE,-1.53444059910482,0.947638321305554,-0.0122141831571607,"Converged",FALSE,-1.24157486419535,0.0397307224140804,-0.0122166000301928,"Converged",FALSE,-1.57796377495624,1.13975323292316,-0.0123502762083665,"Converged",0.99,0.01
287,-2.26924471115854,0.483580960580381,0.00838925428583319,"Converged",FALSE,-2.22881249725135,0.341639674319057,0.00846577656085575,"Converged",FALSE,-2.08900712141034,-0.119732026517424,0.00860240708756922,"Converged",FALSE,-2.21888816370848,0.322717949184847,0.00843865343790503,"Converged",FALSE,-2.2534693552173,0.447702982816811,0.00836363375268967,"Converged",0.99,0.01
288,-2.12871381552131,1.64855130918255,-0.00401390027751791,"Converged",FALSE,-2.05524792521323,1.55626808431682,-0.0043570589949998,"Converged",FALSE,-2.15403333149973,1.88723850409779,-0.00454255379771812,"Converged",FALSE,-1.99462493117521,1.23467178619167,-0.00372063765481508,"Converged",FALSE,-2.21639112448004,1.9868289235401,-0.00405388772519429,"Converged",0.99,0.01
289,-2.67604070887627,1.43901110128994,0.0111868258651587,"Converged",FALSE,-2.61662118801891,1.15650960676274,0.0113232088268192,"Converged",FALSE,-2.53931232451988,0.986096416599401,0.0111835160471755,"Converged",FALSE,-2.62527610606861,1.27968412264689,0.0110342054291835,"Converged",FALSE,-2.61455058941667,1.19506300572827,0.0111368084531189,"Converged",0.99,0.01
290,-1.72308164283542,1.99674609088208,-0.010892763879301,"Converged",FALSE,-1.37615015023576,0.865840356557134,-0.01032969543133,"Converged",FALSE,-1.55018954256529,1.43933572725896,-0.0106250857102248,"Converged",FALSE,-1.50076040301713,1.26504974530067,-0.0105519745853829,"Converged",FALSE,-1.46881525035162,1.19134950904558,-0.0104081792257223,"Converged",0.99,0.01
291,-0.672081016831491,0.28759382941645,-0.0247782062786912,"Converged",FALSE,-0.786285078749062,0.65880245117618,-0.0247127904617297,"Converged",FALSE,-0.741148608992318,0.491855973744588,-0.0248024262243924,"Converged",FALSE,-0.739068879156175,0.522570816281276,-0.0248444303336086,"Converged",FALSE,-0.674098653941176,0.283146846690844,-0.0247249756917407,"Converged",0.99,0.01
292,-0.389371242414729,-0.616762698051058,-0.027582545515185,"Converged",FALSE,-0.608816243810058,0.0488263375312767,-0.0273407358290089,"Converged",FALSE,-0.156107257681338,-1.36426977738383,-0.0278345773885808,"Converged",FALSE,-0.459166920961372,-0.415410219988148,-0.0274690296538916,"Converged",FALSE,-0.522766818776056,-0.224110202007542,-0.0273825231994855,"Converged",0.99,0.01
293,-0.17352342909604,-0.738446342195511,-0.0272859431040078,"Converged",FALSE,-0.235548859109853,-0.517328327690669,-0.0274938362390559,"Converged",FALSE,-0.215234983764947,-0.553156861539307,-0.0275944003243155,"Converged",FALSE,-0.259572151281534,-0.426911487093985,-0.0275826257556566,"Converged",FALSE,-0.04095583943948,-1.19703272385256,-0.0272782307696774,"Converged",0.99,0.01
294,-1.00216623863336,0.0479094732451181,-0.0151068306317758,"Converged",FALSE,-1.21818140687259,0.78491186106364,-0.015415628771795,"Converged",FALSE,-1.34402812767906,1.08452148522545,-0.0153083004019337,"Converged",FALSE,-1.1827820468345,0.636021950445623,-0.0152854339813708,"Converged",FALSE,-1.16898737830894,0.578782897885011,-0.01518300824939,"Converged",0.99,0.01
295,-1.90501970104387,0.858692416557177,-0.00253305982267075,"Converged",FALSE,-1.85173868533273,0.741574319105722,-0.00284577123215172,"Converged",FALSE,-2.05546270686825,1.2918717287078,-0.00236855986712775,"Converged",FALSE,-1.95318835078776,1.02401137616768,-0.00253194593692165,"Converged",FALSE,-1.95577358057756,1.06045775173001,-0.00269573501207615,"Converged",0.99,0.01
